# Summary
mode,total,tp,tn,fp,fn,accuracy,precision,recall,f1,avg_time_ms,avg_comparisons
phrase,100,48,38,0,14,0.8600,1.0000,0.7742,0.8727,0.4496,266.0500
entity-action,100,55,38,0,7,0.9300,1.0000,0.8871,0.9402,0.6214,653.6200
hybrid,100,62,38,0,0,1.0000,1.0000,1.0000,1.0000,0.7254,653.6200

# Details
mode,id,message,label,predicted,method,matched_rule,processing_time_ms,comparisons
phrase,88,"naruto openingnya nostalgia",0,0,"None","",0.5490,402
phrase,89,"batman game ini seru",0,0,"None","",0.4529,327
phrase,90,"superman skin baru cakep",0,0,"None","",0.5442,309
phrase,91,"makima cosplaynya niat",0,0,"None","",0.4732,257
phrase,92,"power scaling jangan dibahas",0,0,"None","",0.5892,389
phrase,93,"aerith theme song bagus",0,0,"None","",0.4659,291
phrase,94,"arthur voice acting mantap",0,0,"None","",0.4868,413
phrase,95,"joel sama ellie chemistry bagus",0,0,"None","",0.5998,417
phrase,96,"endingnya bikin penasaran tapi jangan spill",0,0,"None","",0.6682,732
phrase,97,"post credit jangan diceritain",0,0,"None","",0.5087,430
phrase,98,"plot twist jangan dikasih tau",0,0,"None","",0.5870,449
phrase,99,"gw suka karakter villain yang kompleks",0,0,"None","",0.5883,591
phrase,100,"stream delay hari ini parah",0,0,"None","",0.5708,443
entity-action,1,"film ini keren banget",0,0,"None","",1.1828,1057
entity-action,2,"tony stark mati di akhir",1,1,"Boyer-Moore Phrase","tony stark mati",0.0100,15
entity-action,3,"jangan spoiler dong",0,0,"None","",0.9944,906
entity-action,4,"ternyata dia villain utama",1,1,"Boyer-Moore Phrase","ternyata dia villain",0.4956,413
entity-action,5,"visualnya bagus banget",0,0,"None","",1.0147,1054
entity-action,6,"gojo nanti disegel",1,1,"Boyer-Moore Entity-Action","gojo + disegel",0.5644,443
entity-action,7,"iron man dies pas lawan thanos",1,1,"Boyer-Moore Phrase","iron man dies",0.0237,22
entity-action,8,"endingnya bikin sedih",0,0,"None","",1.0070,1044
entity-action,9,"menurut gw aktingnya bagus",0,0,"None","",1.0896,1340
entity-action,10,"black widow dies di film itu",1,1,"Boyer-Moore Phrase","black widow dies",0.0308,42
entity-action,11,"chat jangan rusuh",0,0,"None","",0.9594,735
entity-action,12,"luffy gear 5 muncul nanti",1,1,"Boyer-Moore Phrase","luffy gear 5",0.1325,81
entity-action,13,"gw belum nonton jadi no spoiler",0,0,"None","",1.2868,1641
entity-action,14,"eren rumbling bikin kacau",1,1,"Boyer-Moore Phrase","eren rumbling",0.0784,50
entity-action,15,"ternyata karakter itu pengkhianat",1,0,"None","",0.9332,1498
entity-action,16,"musik openingnya enak",0,0,"None","",1.0335,1062
entity-action,17,"plot twist dia mati",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.5258,431
entity-action,18,"camera work-nya cakep",0,0,"None","",1.0237,1050
entity-action,19,"snape kills dumbledore",1,1,"Boyer-Moore Phrase","snape kills dumbledore",0.0369,36
entity-action,20,"mysterio villain asli",1,1,"Boyer-Moore Phrase","mysterio villain",0.0435,33
entity-action,21,"aku kira gojo menang",1,1,"Boyer-Moore Entity-Action","gojo + menang",0.5667,389
entity-action,22,"kapan stream mulai",0,0,"None","",0.9620,827
entity-action,23,"endingnya dia meninggal",1,0,"None","",0.8216,863
entity-action,24,"filmnya panjang banget",0,0,"None","",1.0051,1062
entity-action,25,"thanos wins di akhir",1,1,"Boyer-Moore Phrase","thanos wins",0.0641,41
entity-action,26,"jangan bahas ending",0,0,"None","",0.9523,877
entity-action,27,"darth vader father reveal",1,1,"Boyer-Moore Phrase","darth vader father",0.0591,44
entity-action,28,"tony lucu banget di awal",0,0,"None","",0.8259,687
entity-action,29,"sukuna menang lawan dia",1,1,"Boyer-Moore Entity-Action","sukuna + menang",0.5954,449
entity-action,30,"chat ini cepat banget",0,0,"None","",1.0410,1008
entity-action,31,"dia dibunuh oleh temennya sendiri",1,0,"None","",1.0163,1345
entity-action,32,"ini scene favorit gw",0,0,"None","",1.0763,936
entity-action,33,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.5446,577
entity-action,34,"spoiler alert tapi bohong",0,0,"None","",1.0870,1324
entity-action,35,"neji mati nanti",1,1,"Boyer-Moore Phrase","neji mati",0.2598,93
entity-action,36,"anime ini hype banget",0,0,"None","",1.1259,1010
entity-action,37,"itachi mati pas arc itu",1,1,"Boyer-Moore Phrase","itachi mati",0.1311,105
entity-action,38,"gw takut tony mati sih",1,1,"Boyer-Moore Entity-Action","tony + mati",0.5025,322
entity-action,39,"kalau dia villain lucu juga",0,0,"None","",1.1955,1096
entity-action,40,"ace dies di marineford",1,1,"Boyer-Moore Phrase","ace dies",0.1533,112
entity-action,41,"G0J0 nanti di-segel!!!",1,1,"Boyer-Moore Entity-Action","gojo + segel",0.7522,483
entity-action,42,"iroooon-man dies pas ending",1,1,"Boyer-Moore Phrase","iron man dies",0.0235,17
entity-action,43,"plot_twist dia MATIII",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.4926,431
entity-action,44,"tony stark tewas di ending",1,1,"Boyer-Moore Entity-Action","tony + tewas",0.6594,451
entity-action,45,"mysterio ternyata pengkhianat",1,1,"Boyer-Moore Entity-Action","mysterio + pengkhianat",1.2551,854
entity-action,46,"natasha mati pas misi itu",1,1,"Boyer-Moore Phrase","natasha mati",0.0354,36
entity-action,47,"dumbledore dies nanti",1,1,"Boyer-Moore Phrase","dumbledore dies",0.0377,54
entity-action,48,"snape bunuh dumbledore",1,1,"Boyer-Moore Phrase","snape bunuh dumbledore",0.0407,49
entity-action,49,"darth vader ayah luke",1,1,"Boyer-Moore Phrase","darth vader ayah luke",0.0608,47
entity-action,50,"thanos menang di akhir",1,1,"Boyer-Moore Phrase","thanos menang",0.0689,47
entity-action,51,"mikasa kills eren",1,1,"Boyer-Moore Phrase","mikasa kills eren",0.0754,45
entity-action,52,"eren jadi villain",1,1,"Boyer-Moore Phrase","eren jadi villain",0.0688,62
entity-action,53,"sukuna bunuh gojo",1,1,"Boyer-Moore Phrase","sukuna bunuh gojo",0.0962,54
entity-action,54,"gojo kalah lawan sukuna",1,1,"Boyer-Moore Phrase","gojo kalah",0.1009,83
entity-action,55,"luffy joyboy reveal",1,1,"Boyer-Moore Phrase","luffy joyboy",0.1047,63
entity-action,56,"jiraiya mati pas lawan pain",1,1,"Boyer-Moore Phrase","jiraiya mati",0.1378,160
entity-action,57,"obito is tobi",1,1,"Boyer-Moore Phrase","obito is tobi",0.1869,43
entity-action,58,"aizen villain utama",1,1,"Boyer-Moore Phrase","aizen villain",0.1439,103
entity-action,59,"light yagami mati",1,1,"Boyer-Moore Phrase","light yagami mati",0.1513,147
entity-action,60,"rengoku dies pas lawan akaza",1,1,"Boyer-Moore Phrase","rengoku dies",0.2217,240
entity-action,61,"makima villain asli",1,1,"Boyer-Moore Phrase","makima villain",0.1985,147
entity-action,62,"power mati nanti",1,1,"Boyer-Moore Phrase","power mati",0.1929,152
entity-action,63,"aki gun fiend reveal",1,1,"Boyer-Moore Phrase","aki gun fiend",0.2934,115
entity-action,64,"sasha mati di season itu",1,1,"Boyer-Moore Phrase","sasha mati",0.2645,275
entity-action,65,"reiner armored titan",1,1,"Boyer-Moore Phrase","reiner armored titan",0.2195,153
entity-action,66,"bertholdt colossal titan",1,1,"Boyer-Moore Phrase","bertholdt colossal titan",0.2366,196
entity-action,67,"aerith dies nanti",1,1,"Boyer-Moore Phrase","aerith dies",0.3332,204
entity-action,68,"arthur morgan mati",1,1,"Boyer-Moore Phrase","arthur morgan mati",0.2781,242
entity-action,69,"joel mati dibunuh abby",1,1,"Boyer-Moore Phrase","joel mati",0.3101,219
entity-action,70,"atreus loki reveal",1,1,"Boyer-Moore Phrase","atreus loki",0.3582,151
entity-action,71,"han solo dies",1,1,"Boyer-Moore Phrase","han solo dies",0.3204,194
entity-action,72,"rey palpatine",1,1,"Boyer-Moore Phrase","rey palpatine",0.3147,148
entity-action,73,"batman is bruce wayne",1,1,"Boyer-Moore Phrase","batman is bruce wayne",0.4416,222
entity-action,74,"superman mati di film itu",1,1,"Boyer-Moore Phrase","superman mati",0.4122,452
entity-action,75,"post credit ada cameo besar",1,1,"Boyer-Moore Phrase","post credit ada cameo",0.5715,426
entity-action,76,"endingnya karakter utama selamat",1,0,"None","",0.9929,1595
entity-action,77,"ternyata dia masih hidup",1,0,"None","",0.9545,1166
entity-action,78,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.5794,577
entity-action,79,"final form villain muncul nanti",1,0,"None","",0.9895,1337
entity-action,80,"episode terakhir dia dikalahkan",1,0,"None","",0.9496,1342
entity-action,81,"chatnya rame banget hari ini",0,0,"None","",1.1534,1495
entity-action,82,"gw belum nonton jadi no spoiler pls",0,0,"None","",1.2974,1859
entity-action,83,"jangan bahas ending dulu",0,0,"None","",1.1308,1146
entity-action,84,"villain designnya keren tanpa spoiler",0,0,"None","",1.2910,1668
entity-action,85,"gojo fanart ini bagus",0,0,"None","",0.7888,695
entity-action,86,"tony lucu banget di awal",0,0,"None","",0.8906,687
entity-action,87,"luffy ketawa doang sepanjang episode",0,0,"None","",1.0043,1295
entity-action,88,"naruto openingnya nostalgia",0,0,"None","",0.8792,998
entity-action,89,"batman game ini seru",0,0,"None","",1.0240,1046
entity-action,90,"superman skin baru cakep",0,0,"None","",0.9913,1168
entity-action,91,"makima cosplaynya niat",0,0,"None","",0.9341,903
entity-action,92,"power scaling jangan dibahas",0,0,"None","",1.0155,1255
entity-action,93,"aerith theme song bagus",0,0,"None","",0.9583,1018
entity-action,94,"arthur voice acting mantap",0,0,"None","",0.9924,1266
entity-action,95,"joel sama ellie chemistry bagus",0,0,"None","",1.1009,1418
entity-action,96,"endingnya bikin penasaran tapi jangan spill",0,0,"None","",1.3269,2487
entity-action,97,"post credit jangan diceritain",0,0,"None","",1.1277,1455
entity-action,98,"plot twist jangan dikasih tau",0,0,"None","",1.4045,1449
entity-action,99,"gw suka karakter villain yang kompleks",0,0,"None","",1.2404,1667
entity-action,100,"stream delay hari ini parah",0,0,"None","",1.2067,1485
hybrid,1,"film ini keren banget",0,0,"None","",3.8788,1057
hybrid,2,"tony stark mati di akhir",1,1,"Boyer-Moore Phrase","tony stark mati",0.0147,15
hybrid,3,"jangan spoiler dong",0,0,"None","",2.9389,906
hybrid,4,"ternyata dia villain utama",1,1,"Boyer-Moore Phrase","ternyata dia villain",0.4999,413
hybrid,5,"visualnya bagus banget",0,0,"None","",1.1698,1054
hybrid,6,"gojo nanti disegel",1,1,"Boyer-Moore Entity-Action","gojo + disegel",0.6466,443
hybrid,7,"iron man dies pas lawan thanos",1,1,"Boyer-Moore Phrase","iron man dies",0.0228,22
hybrid,8,"endingnya bikin sedih",0,0,"None","",1.1092,1044
hybrid,9,"menurut gw aktingnya bagus",0,0,"None","",1.2073,1340
hybrid,10,"black widow dies di film itu",1,1,"Boyer-Moore Phrase","black widow dies",0.0321,42
hybrid,11,"chat jangan rusuh",0,0,"None","",1.1691,735
hybrid,12,"luffy gear 5 muncul nanti",1,1,"Boyer-Moore Phrase","luffy gear 5",0.1306,81
hybrid,13,"gw belum nonton jadi no spoiler",0,0,"None","",1.3792,1641
hybrid,14,"eren rumbling bikin kacau",1,1,"Boyer-Moore Phrase","eren rumbling",0.0812,50
hybrid,15,"ternyata karakter itu pengkhianat",1,1,"Regex Pattern",".*ternyata .*(villain|pengkhianat).*",1.0511,1498
hybrid,16,"musik openingnya enak",0,0,"None","",1.1030,1062
hybrid,17,"plot twist dia mati",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.4475,431
hybrid,18,"camera work-nya cakep",0,0,"None","",1.1119,1050
hybrid,19,"snape kills dumbledore",1,1,"Boyer-Moore Phrase","snape kills dumbledore",0.0394,36
hybrid,20,"mysterio villain asli",1,1,"Boyer-Moore Phrase","mysterio villain",0.0454,33
hybrid,21,"aku kira gojo menang",1,1,"Boyer-Moore Entity-Action","gojo + menang",0.6276,389
hybrid,22,"kapan stream mulai",0,0,"None","",1.0347,827
hybrid,23,"endingnya dia meninggal",1,1,"Regex Pattern",".*endingnya .*(mati|meninggal|dies).*",0.8777,863
hybrid,24,"filmnya panjang banget",0,0,"None","",1.0561,1062
hybrid,25,"thanos wins di akhir",1,1,"Boyer-Moore Phrase","thanos wins",0.0641,41
hybrid,26,"jangan bahas ending",0,0,"None","",1.0014,877
hybrid,27,"darth vader father reveal",1,1,"Boyer-Moore Phrase","darth vader father",0.0576,44
hybrid,28,"tony lucu banget di awal",0,0,"None","",0.9288,687
hybrid,29,"sukuna menang lawan dia",1,1,"Boyer-Moore Entity-Action","sukuna + menang",0.6612,449
hybrid,30,"chat ini cepat banget",0,0,"None","",1.1795,1008
hybrid,31,"dia dibunuh oleh temennya sendiri",1,1,"Regex Pattern",".*dibunuh oleh .*",1.0290,1345
hybrid,32,"ini scene favorit gw",0,0,"None","",1.1122,936
hybrid,33,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.5359,577
hybrid,34,"spoiler alert tapi bohong",0,0,"None","",1.1901,1324
hybrid,35,"neji mati nanti",1,1,"Boyer-Moore Phrase","neji mati",0.1359,93
hybrid,36,"anime ini hype banget",0,0,"None","",1.1323,1010
hybrid,37,"itachi mati pas arc itu",1,1,"Boyer-Moore Phrase","itachi mati",0.1343,105
hybrid,38,"gw takut tony mati sih",1,1,"Boyer-Moore Entity-Action","tony + mati",0.5815,322
hybrid,39,"kalau dia villain lucu juga",0,0,"None","",1.1172,1096
hybrid,40,"ace dies di marineford",1,1,"Boyer-Moore Phrase","ace dies",0.1590,112
hybrid,41,"G0J0 nanti di-segel!!!",1,1,"Boyer-Moore Entity-Action","gojo + segel",0.7327,483
hybrid,42,"iroooon-man dies pas ending",1,1,"Boyer-Moore Phrase","iron man dies",0.0224,17
hybrid,43,"plot_twist dia MATIII",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.5546,431
hybrid,44,"tony stark tewas di ending",1,1,"Boyer-Moore Entity-Action","tony + tewas",0.5480,451
hybrid,45,"mysterio ternyata pengkhianat",1,1,"Boyer-Moore Entity-Action","mysterio + pengkhianat",0.7517,854
hybrid,46,"natasha mati pas misi itu",1,1,"Boyer-Moore Phrase","natasha mati",0.0326,36
hybrid,47,"dumbledore dies nanti",1,1,"Boyer-Moore Phrase","dumbledore dies",0.0380,54
hybrid,48,"snape bunuh dumbledore",1,1,"Boyer-Moore Phrase","snape bunuh dumbledore",0.0407,49
hybrid,49,"darth vader ayah luke",1,1,"Boyer-Moore Phrase","darth vader ayah luke",0.0602,47
hybrid,50,"thanos menang di akhir",1,1,"Boyer-Moore Phrase","thanos menang",0.0691,47
hybrid,51,"mikasa kills eren",1,1,"Boyer-Moore Phrase","mikasa kills eren",0.0745,45
hybrid,52,"eren jadi villain",1,1,"Boyer-Moore Phrase","eren jadi villain",0.1712,62
hybrid,53,"sukuna bunuh gojo",1,1,"Boyer-Moore Phrase","sukuna bunuh gojo",0.1516,54
hybrid,54,"gojo kalah lawan sukuna",1,1,"Boyer-Moore Phrase","gojo kalah",0.1022,83
hybrid,55,"luffy joyboy reveal",1,1,"Boyer-Moore Phrase","luffy joyboy",0.1051,63
hybrid,56,"jiraiya mati pas lawan pain",1,1,"Boyer-Moore Phrase","jiraiya mati",0.1352,160
hybrid,57,"obito is tobi",1,1,"Boyer-Moore Phrase","obito is tobi",0.1066,43
hybrid,58,"aizen villain utama",1,1,"Boyer-Moore Phrase","aizen villain",0.1465,103
hybrid,59,"light yagami mati",1,1,"Boyer-Moore Phrase","light yagami mati",0.1705,147
hybrid,60,"rengoku dies pas lawan akaza",1,1,"Boyer-Moore Phrase","rengoku dies",0.3339,240
hybrid,61,"makima villain asli",1,1,"Boyer-Moore Phrase","makima villain",0.2026,147
hybrid,62,"power mati nanti",1,1,"Boyer-Moore Phrase","power mati",0.1927,152
hybrid,63,"aki gun fiend reveal",1,1,"Boyer-Moore Phrase","aki gun fiend",0.2145,115
hybrid,64,"sasha mati di season itu",1,1,"Boyer-Moore Phrase","sasha mati",0.2641,275
hybrid,65,"reiner armored titan",1,1,"Boyer-Moore Phrase","reiner armored titan",0.2939,153
hybrid,66,"bertholdt colossal titan",1,1,"Boyer-Moore Phrase","bertholdt colossal titan",0.2354,196
hybrid,67,"aerith dies nanti",1,1,"Boyer-Moore Phrase","aerith dies",0.2655,204
hybrid,68,"arthur morgan mati",1,1,"Boyer-Moore Phrase","arthur morgan mati",0.3378,242
hybrid,69,"joel mati dibunuh abby",1,1,"Boyer-Moore Phrase","joel mati",0.3103,219
hybrid,70,"atreus loki reveal",1,1,"Boyer-Moore Phrase","atreus loki",0.2927,151
hybrid,71,"han solo dies",1,1,"Boyer-Moore Phrase","han solo dies",0.3259,194
hybrid,72,"rey palpatine",1,1,"Boyer-Moore Phrase","rey palpatine",0.4367,148
hybrid,73,"batman is bruce wayne",1,1,"Boyer-Moore Phrase","batman is bruce wayne",0.3755,222
hybrid,74,"superman mati di film itu",1,1,"Boyer-Moore Phrase","superman mati",0.8190,452
hybrid,75,"post credit ada cameo besar",1,1,"Boyer-Moore Phrase","post credit ada cameo",0.5873,426
hybrid,76,"endingnya karakter utama selamat",1,1,"Regex Pattern",".*endingnya .*(tewas|wafat|dead|kalah|menang|hidup|selamat).*",1.2826,1595
hybrid,77,"ternyata dia masih hidup",1,1,"Regex Pattern",".*ternyata .* masih hidup.*",1.1444,1166
hybrid,78,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.6064,577
hybrid,79,"final form villain muncul nanti",1,1,"Regex Pattern",".*final form.*",1.3425,1337
hybrid,80,"episode terakhir dia dikalahkan",1,1,"Regex Pattern",".*episode .* (kalah|dikalahkan|defeated).*",1.1556,1342
hybrid,81,"chatnya rame banget hari ini",0,0,"None","",1.3687,1495
hybrid,82,"gw belum nonton jadi no spoiler pls",0,0,"None","",1.4996,1859
hybrid,83,"jangan bahas ending dulu",0,0,"None","",1.1486,1146
hybrid,84,"villain designnya keren tanpa spoiler",0,0,"None","",1.3304,1668
hybrid,85,"gojo fanart ini bagus",0,0,"None","",0.9283,695
hybrid,86,"tony lucu banget di awal",0,0,"None","",0.9332,687
hybrid,87,"luffy ketawa doang sepanjang episode",0,0,"None","",1.1711,1295
hybrid,88,"naruto openingnya nostalgia",0,0,"None","",1.0233,998
hybrid,89,"batman game ini seru",0,0,"None","",1.1143,1046
hybrid,90,"superman skin baru cakep",0,0,"None","",1.1664,1168
hybrid,91,"makima cosplaynya niat",0,0,"None","",1.2058,903
hybrid,92,"power scaling jangan dibahas",0,0,"None","",1.4049,1255
hybrid,93,"aerith theme song bagus",0,0,"None","",1.1969,1018
hybrid,94,"arthur voice acting mantap",0,0,"None","",1.2348,1266
hybrid,95,"joel sama ellie chemistry bagus",0,0,"None","",1.3274,1418
hybrid,96,"endingnya bikin penasaran tapi jangan spill",0,0,"None","",1.6373,2487
hybrid,97,"post credit jangan diceritain",0,0,"None","",1.2917,1455
hybrid,98,"plot twist jangan dikasih tau",0,0,"None","",1.2993,1449
hybrid,99,"gw suka karakter villain yang kompleks",0,0,"None","",1.2583,1667
hybrid,100,"stream delay hari ini parah",0,0,"None","",1.2755,1485
